hpoID	hpoLabel	deltaZ	pValue	nGenes
HP:0007364	Aplasia/Hypoplasia of the cerebrum	-0.00919967433427	0.141352859504	900
HP:0004322	Short stature	-0.00706723798676	0.262137255749	887
HP:0001871	Abnormality of blood and blood-forming tissues	0.0123142758006	0.0840938120747	921
HP:0004328	Abnormal anterior eye segment morphology	-2.42579947147e-05	0.997046448663	887
HP:0004325	Decreased body weight	0.0049787154258	0.47175216522	875
HP:0004329	Abnormal posterior eye segment morphology	-0.014517110128	0.000910318639805	877
HP:0010935	Abnormality of the upper urinary tract	-0.00198641307044	0.768319281998	880
HP:0001627	Abnormal heart morphology	0.00195206086721	0.77361985934	875
HP:0001098	Abnormal fundus morphology	-0.0145312183425	0.000936714388287	874
HP:0011297	Abnormal digit morphology	-0.0073775510776	0.262231528893	862
HP:0001760	Abnormality of the foot	-0.00368740521679	0.590873520101	853
HP:0000077	Abnormality of the kidney	-0.00120516338704	0.861775025751	855
HP:0031826	Abnormal reflex	-0.00331570568834	0.622345554179	840
HP:0002795	Functional respiratory abnormality	-0.00430994630898	0.398553517817	841
HP:0011025	Abnormal cardiovascular system physiology	0.00429942865507	0.528753167711	842
HP:0002012	Abnormality of the abdominal organs	0.0113901997387	0.130053595919	850
HP:0000504	Abnormality of vision	-0.00289363353211	0.661686195668	840
HP:0002493	Upper motor neuron dysfunction	-0.0107084169974	0.0327906100054	819
HP:0001595	Abnormal hair morphology	-0.00254443114459	0.679951541224	807
HP:0000492	Abnormal eyelid morphology	-0.00546230234778	0.439274082493	812
HP:0003674	Onset	-0.00914972067949	0.0283990844059	819
HP:0011729	Abnormality of joint mobility	-0.00761779081365	0.160690678284	784
HP:0025033	Abnormality of digestive system morphology	0.00277804045046	0.715189370158	783
HP:0012718	Morphological abnormality of the gastrointestinal tract	0.00277804045046	0.715189370158	783
HP:0011821	Abnormality of facial skeleton	-0.00264218089917	0.725410024938	773
HP:0000811	Abnormal external genitalia	-0.00550695243042	0.435976132644	751
HP:0010461	Abnormality of the male genitalia	-0.00168930463992	0.824135299341	749
HP:0012252	Abnormal respiratory system morphology	0.00926634892563	0.236447916973	784
HP:0000356	Abnormality of the outer ear	-0.00550771327287	0.47241528366	732
HP:0000032	Abnormality of male external genitalia	-0.00401515744281	0.58161573922	727
HP:0009115	Aplasia/hypoplasia involving the skeleton	-0.000481103502467	0.949562771154	741
HP:0032180	Abnormal circulating metabolite concentration	-0.00749506505247	0.104257348522	756
HP:0002167	Neurological speech impairment	-0.00847185120409	0.101844907027	725
HP:0040195	Decreased head circumference	-0.0086270152104	0.226438216536	723
HP:0012547	Abnormal involuntary eye movements	-0.0120765596584	0.0906760165554	738
HP:0000252	Microcephaly	-0.00956682283749	0.179865578849	716
HP:0011443	Abnormality of coordination	-0.015023030614	0.000389742739553	712
HP:0000639	Nystagmus	-0.0120008202111	0.0944864250742	734
HP:0010674	Abnormality of the curvature of the vertebral column	-0.0031238751803	0.691419502049	703
HP:0001392	Abnormality of the liver	0.0137675169719	0.104830660317	737
HP:0001167	Abnormality of finger	-0.00624481270674	0.426992423968	697
HP:0001288	Gait disturbance	-0.00617586757959	0.305671322732	689
