gene	Duplication z	Duplication pLI
HLA-DRB1	0.565715832783	0.997046139869
FRG2B	0.565422169772	1.0
SPATA31D1	0.565395413067	0.998520048386
SLC35G6	0.564810541151	1.0
NAT8	0.564651420406	1.0
TUBB8	0.564373963216	1.0
CSH2	0.56433688852	1.0
ZNF302	0.564266791492	1.0
CSHL1	0.564194275523	1.0
GH1	0.564193162641	1.0
CGB2	0.564093210117	1.0
OR4F17	0.564021821562	1.0
CGB5	0.563919992867	1.0
CGB7	0.563919992867	1.0
GH2	0.563871026063	1.0
